insertId,jsonPayload.class,jsonPayload.message,jsonPayload.filename,jsonPayload.method,jsonPayload.container,jsonPayload.container_logname,jsonPayload.application,jsonPayload.thread,resource.type,resource.labels.project_id,resource.labels.region,resource.labels.cluster_name,resource.labels.cluster_uuid,timestamp,severity,"labels.""compute.googleapis.com/zone""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/resource_id""",logName,receiveTimestamp
vl1cb4r01uy0h54yf,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService,"Cache Size Before Clean: 2587152, Total Deleted: 0, Public Deleted: 0, Private Deleted: 0",yarn-yarn-nodemanager-w261-final-project-w-1.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:53.962Z,INFO,us-west1-b,w261-final-project-w-1,5754475817644259380,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:09:58.878432441Z
vh4ips7hafhp2ks9s,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:49.248Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:54.263391489Z
c0284mbhqrf9msiom,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService,"Cache Size Before Clean: 862384, Total Deleted: 0, Public Deleted: 0, Private Deleted: 0",yarn-yarn-nodemanager-w261-final-project-w-3.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:48.884Z,INFO,us-west1-b,w261-final-project-w-3,8358316418202269747,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:09:53.915323415Z
lhe5l3r9sfdhdi80d,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService,"Cache Size Before Clean: 2587152, Total Deleted: 0, Public Deleted: 0, Private Deleted: 0",yarn-yarn-nodemanager-w261-final-project-w-5.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:47.532Z,INFO,us-west1-b,w261-final-project-w-5,342853695115032627,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:09:53.129604830Z
ewnyez2297rd2bpdy,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService,"Cache Size Before Clean: 1724768, Total Deleted: 0, Public Deleted: 0, Private Deleted: 0",yarn-yarn-nodemanager-w261-final-project-w-4.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:44.468Z,INFO,us-west1-b,w261-final-project-w-4,4919962349181532211,projects/w261-finateam10/logs/yarn-yarn-nodemanager,2019-12-10T09:09:50.021171188Z
vh4ips7hafhp2ks9r,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:44.246Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:49.268916014Z
vh4ips7hafhp2ks9q,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:39.244Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:44.260625485Z
vh4ips7hafhp2ks9p,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Applications Request	TARGET=ClientRMService	RESULT=SUCCESS",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:34.242Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:39.261172618Z
vh4ips7hafhp2ks9o,org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore,Discarded 0 entities for timestamp 1575364171937 and earlier in 0.001 seconds,yarn-yarn-timelineserver-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:31.938Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-timelineserver,2019-12-10T09:09:34.293169159Z
vh4ips7hafhp2ks9n,org.apache.hadoop.yarn.server.resourcemanager.RMAuditLogger,"USER=root	IP=10.138.0.46	OPERATION=Get Queue Info Request	TARGET=ClientRMService	RESULT=SUCCESS	QUEUENAME=root	INCLUDEAPPS=false	INCLUDECHILDQUEUES=true	RECURSIVE=true",yarn-yarn-resourcemanager-w261-final-project-m.log,,,,,,cloud_dataproc_cluster,w261-finateam10,us-west1,w261-final-project,edff4d62-42db-4e3f-b8b8-2efbb28b7422,2019-12-10T09:09:31.332Z,INFO,us-west1-b,w261-final-project-m,2747357334388013108,projects/w261-finateam10/logs/yarn-yarn-resourcemanager,2019-12-10T09:09:34.293169159Z
