0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,3,5,8,32,766,93,25,47,326,1,4,,44,05db9164,38a947a1,42a04a35,7031bb66,25c83c98,7e0ccccf,15f8eb35,f504a6f4,a73ee510,4ec65f86,f8bed1fb,7127a7d6,18a5133f,b28479f6,17194aa4,51a8930b,e5ba7672,1f8f8372,,,53cb3c2b,ad3062eb,423fab69,b258af68,,
0,0,0,,,1571,5,7,5,13,0,3,,,05db9164,09e68b86,1b2c0594,d8d9a31d,25c83c98,7e0ccccf,9a4f2943,5b392875,a73ee510,86b46b2e,4a00b569,f7d40c2a,42ef23bb,1adce6ef,dbc5e126,9bc9e085,e5ba7672,5aed7436,04de9d96,5840adea,2076b084,ad3062eb,32c7478e,3900a598,e8b83407,396cda21
0,,-1,,,18086,86,1,1,45,,1,,,8cf07265,3f0d3f28,d7ee147d,e4f81cba,384874ce,fe6b92e5,928efe34,5b392875,a73ee510,fa7d0797,4c074d2a,f52253c5,f948ca5d,32813e21,e8d4033b,f6d03ec3,e5ba7672,744ad4a0,,,2e4782f5,,3a171ecb,e5fca70a,,
0,24,331,32,75,560,253,177,22,1965,1,22,0,207,f473b8dc,942f9a8d,435c3859,be42d44a,25c83c98,7e0ccccf,3f4ec687,0b153874,a73ee510,e113fc4b,c4adf918,e4c074db,85dbe138,1adce6ef,ae97ecc3,a029b14b,27c07bd6,1f868fdd,9653bb65,a458ea53,76ff3b70,,32c7478e,9fc6df89,9d93af03,91002aff
1,1,10,47,12,2,2,1,15,60,1,1,,2,05db9164,38d50e09,15e1524a,f438658e,f281d2a7,fbad5c96,9963c37d,5b392875,a73ee510,d2f1c80c,9a024337,b94e4985,7a7b8db5,b28479f6,06373944,8fb26375,d4bb7bd8,fffe2a63,21ddcdc9,b1252a9d,c7cf9eeb,ad3062eb,32c7478e,df487a73,001f3601,c27f155b
0,3,10,5,12,568,15,3,11,12,1,1,0,12,05db9164,90081f33,f30661f3,d285863e,384874ce,fe6b92e5,e0218d0b,0b153874,a73ee510,aedbd1e7,41475a84,a76aa4c6,4e997c84,b28479f6,1c51f095,ad6bcaa7,07c540c4,1b884e69,,,e7d9805f,,32c7478e,d5c410bd,,
0,0,1,,,16428,,,5,,0,,,,05db9164,dc1def19,5d1ca1e5,196060ff,4cf72387,fe6b92e5,c0251c88,0b153874,a73ee510,70d3f60a,ada36e89,71c32035,c63ea0b4,ad1cc976,71d7ea29,cf393f9f,e5ba7672,5681c2c1,,,06c4ef72,,c3dc6cef,6bc2bf95,,
0,0,3,11,2,2059,63,7,39,63,0,1,,2,5a9ed9b0,78ccd99e,4d485115,dd51f47e,384874ce,3bf701e7,6990f900,37e4aa92,a73ee510,4f63bf1e,75ebee06,52183311,0c7dd611,f862f261,ada14dd8,9329f3a2,e5ba7672,e7e991cb,fc134659,a458ea53,d018eac4,,3a171ecb,bb90fac0,c243e98b,c12a6ac4
0,,25,3,7,15719,44,25,7,42,,1,0,7,05db9164,09e68b86,2794b521,d62b7a28,25c83c98,7e0ccccf,24c48926,5b392875,a73ee510,afa26c81,9f0003f4,2e238e8c,5afd9e51,b28479f6,52baadf5,68b46bec,e5ba7672,5aed7436,a34d2cf6,b1252a9d,cc1531a9,,32c7478e,df707311,e8b83407,006de9be
0,,1,3,9,2727,13,19,11,67,,2,1,9,68fd1e64,207b2d81,d73903c4,77a972c7,25c83c98,,d2dbdfe6,37e4aa92,a73ee510,efea433b,7e40f08a,70a58a12,1aa94af3,07d13a8f,0c67c4ca,807b85d5,3486227d,395856b0,21ddcdc9,a458ea53,98f5f4f7,,32c7478e,cc92fe5a,001f3601,bc84f389
0,,4,16,6,10075,,0,6,16,,0,,6,05db9164,a0e12995,b3d2f3df,811a5b41,25c83c98,fe6b92e5,ed70802a,5b392875,a73ee510,3b08e48b,afb21dbe,f4d79ee3,b59b744b,b28479f6,83763c20,9aa23130,776ce399,1616f155,21ddcdc9,5840adea,a2ab0cc8,ad3062eb,3a171ecb,8548f4a1,9b3e8820,e75c9ae9
0,13,0,6,9,0,1,197,18,191,1,12,0,1,05db9164,95e2d337,20e4194f,c5455c5f,25c83c98,7e0ccccf,ac2d4799,56563555,a73ee510,2c882805,434d6c13,182bb2f9,7301027a,07d13a8f,4e505ea3,2cde4ca7,8efede7f,7b06fafe,a01a206d,a458ea53,e7c19539,,423fab69,16bb3de8,2bf691b1,d3b2f8c3
0,0,19,19,4,1496,31,1,18,18,0,1,0,4,68fd1e64,3ab4d7f5,a4b38ecc,27d8fdb5,25c83c98,,87e1825e,0b153874,a73ee510,17a0cc50,9fd640ca,47d2b89c,56b1ebb5,dcd762ee,9b8c4db5,77ecf4f4,d4bb7bd8,b76fb0de,21ddcdc9,b1252a9d,33e00b0e,,3a171ecb,65e74c52,c9f3bea7,f3ea27fd
0,,-1,,,13865,133,5,11,100,,2,0,,05db9164,a796837e,5c05f1ab,97ce69e9,25c83c98,7e0ccccf,c9255aae,0b153874,a73ee510,3bc8bb1a,ff48b5b4,50ec33a6,19fe98bf,07d13a8f,23a9a76d,5a9431f3,e5ba7672,c4ba79ab,,,e9672021,,32c7478e,8fc66e78,,
