0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0,0,6,,2972,26,2,3,11,0,1,0,,68fd1e64,80e26c9b,9dd3c4fc,a09fab49,25c83c98,fbad5c96,d69b60fc,0b153874,a73ee510,3b08e48b,1a036e26,3c5900b5,52f64c84,b28479f6,4c1df281,0decd005,07c540c4,f54016b9,21ddcdc9,b1252a9d,7633c7c8,,32c7478e,17f458f7,e8b83407,71236095
0,0,1,2,7,3286,,0,21,13,0,0,1,7,05db9164,bccb7a1a,f299d036,d1038a37,4cf72387,7e0ccccf,424fbb9a,0b153874,a73ee510,3b08e48b,2386466b,7fbe45f8,45db6793,07d13a8f,e6696727,63a04c4a,3486227d,d51975d7,21ddcdc9,5840adea,7bfa4d82,c9d4222a,32c7478e,c646e587,ea9a246c,4612bd34
1,8,253,50,15,7,2,22,48,250,1,6,,0,05db9164,1cfdf714,44dbad79,b54345fb,4cf72387,7e0ccccf,7195046d,0b153874,a73ee510,3d12126c,4d8549da,2161f91f,51b97b8f,b28479f6,d345b1a0,aa640967,e5ba7672,e88ffc9d,5b885066,b1252a9d,f101cc1d,,bcdee96c,b839567a,9b3e8820,9b10b2d8
0,1,30,41,7,4,1,14,5,53,1,5,,1,68fd1e64,58e67aaf,962bdb57,5345e2ea,4cf72387,7e0ccccf,45e063a0,0b153874,a73ee510,27f4bf82,da89cb9b,0ac9dec6,165642be,1adce6ef,d002b6d9,a56e8538,e5ba7672,c21c3e4c,26e97973,a458ea53,0303d915,ad3062eb,bcdee96c,3fdb382b,9b3e8820,49d68486
0,,0,5,4,4186,17,15,6,48,,7,,5,5bfa8ab5,0a519c5c,77f2f2e5,d16679b9,4cf72387,7e0ccccf,6e8d859c,e602701d,a73ee510,3b08e48b,2a55306d,9f32b866,04490a65,07d13a8f,b812f9f2,31ca40b6,e5ba7672,2efa89c6,,,dfcfc3fa,,be7c41b4,aee52b6f,,
1,,0,1,1,20592,1,22,0,1,,1,,1,be589b51,942f9a8d,435c3859,be42d44a,4cf72387,7e0ccccf,49b74ebc,0b153874,a73ee510,0e9ead52,c4adf918,e4c074db,85dbe138,1adce6ef,ae97ecc3,a029b14b,e5ba7672,1f868fdd,55dd3565,a458ea53,76ff3b70,,32c7478e,9fc6df89,9d93af03,91002aff
1,1,1,1,,355,6,1,2,3,1,1,,,05db9164,4f25e98b,0596d6cc,e54d02a6,25c83c98,7e0ccccf,b5043bcd,985e3fcb,a73ee510,3013a9ec,371dae82,8c80aacc,18fc2b1e,64c94865,40e29d2a,c9081591,d4bb7bd8,7ef5affa,17e184e7,a458ea53,7d2c5560,,32c7478e,3fdb382b,001f3601,49d68486
0,1,-1,,,741,43,1,27,53,1,1,,,05db9164,403ea497,2cbec47f,3e2bfbda,25c83c98,fbad5c96,197b4575,0b153874,a73ee510,6c47047a,24f22538,21a23bfe,e40e52ae,b28479f6,91f74a64,587267a3,d4bb7bd8,a78bd508,21ddcdc9,5840adea,c2a93b37,,3a171ecb,1793a828,e8b83407,2fede552
0,,393,127,0,16228,69,1,7,22,,1,,6,05db9164,bfdcfc4a,8d7ac293,69b09eba,25c83c98,7e0ccccf,cc5ed2f1,0b153874,a73ee510,3b08e48b,081c279a,6a383d87,9f16a973,b28479f6,2ed5bdad,3950217e,07c540c4,ffd53157,21ddcdc9,5840adea,5334fccb,c9d4222a,32c7478e,03a8e84d,e8b83407,b2a97390
0,,10,,9,30124,76,13,20,217,,2,0,9,5bfa8ab5,26a88120,b00d1501,d16679b9,25c83c98,7e0ccccf,3f4ec687,5b392875,a73ee510,726f00fd,c4adf918,e0d76380,85dbe138,b28479f6,2ebbf26a,1203a270,27c07bd6,b486119d,,,73d06dde,,32c7478e,aee52b6f,,
